Title,Author,Genre,Status,Published Date,Reading Start Date,Reading End Date,Notes,Tags
The Iliad ,Homer,Fiction,Finished,,29/12/2024,07/01/2025,,
Just Stab Me Now,Jill Bearup,Fiction,Finished,,07/01/2025,08/01/2025,,
Why Women Grow,Alice Vincent,Non-fiction,Finished,,10/01/2025,03/03/2025,,
No Country for Girls,Emma Styles,Fiction,Finished,,12/01/2025,15/01/2025,,
The King Must Die,Mary Renault,Fiction,Finished,,21/01/2025,28/01/2025,,
The Dragon's Banker,Scott Warren,Fiction,Finished,,25/01/2025,25/01/2025,,
The Odyssey,Homer,Fiction,Finished,,29/01/2025,08/02/2025,,
Legends and Lattes,Travis Baldtree,Fiction,Finished,,08/02/2025,08/02/2025,,
Far From the Madding Crowd ,Thomas Hardy,Fiction,Finished,,11/02/2025,26/02/2025,,
The Ferryman,Justin Cronin,Fiction,Finished,,03/03/2025,04/03/2025,,
Catch 22,Joseph Heller,Fiction,Finished,,05/03/2025,25/03/2025,,
Seven Against Thebes,Aeschylus ,Play,Finished,,25/03/2025,25/03/2025,,
Persians,Aeschylus ,Play,Finished,,26/03/2025,27/03/2025,,
Suppliants,Aeschylus ,Play,Finished,,29/03/2025,29/03/2025,,
Prometheus Bound,Aeschylus ,Play,Finished,,29/03/2025,31/03/2025,,
Bacchae,Euripedes,Play,Finished,,02/04/2025,03/04/2025,,
Iphegenia among the Taurians,Euripedes,Play,Finished,,03/04/2025,04/04/2025,,
Rhesus,Euripedes,Play,Finished,,04/04/2025,04/04/2025,,
Iphegenia at Aulis,Euripedes,Play,Finished,,04/04/2025,04/04/2025,,
The Voyage Home,Pat Barker,Fiction,Finished,,14/04/2025,14/04/2025,,
The Silence of the Girls ,Pat Barker,Fiction,Finished,,15/04/2025,15/04/2025,,
The Women of Troy,Pat Barker,Fiction,Finished,,16/04/2025,16/04/2025,,
The Bull from the Sea,Mary Renault,Fiction,Finished,,18/04/2025,19/04/2025,,
Fire From Heaven,Mary Renault,Fiction,Finished,,20/04/2025,30/04/2025,,
Mythica,Emily Hauser,Non-fiction,Finished,,30/04/2025,08/05/2025,,
Regeneration ,Pat Barker,Fiction,Finished,,30/04/2025,30/04/2025,,
The Eye in the Door,Pat Barker,Fiction,Finished,,03/05/2025,21/05/2025,,
The Ghost Road,Pat Barker,Fiction,Finished,,20/05/2025,25/05/2025,,
The Sword in the Stone,T.H. White,Fiction,Finished,,25/05/2025,26/05/2025,,
The Queen of Air and Darkness,T.H. White,Fiction,Finished,,26/05/2025,03/06/2025,,
For the Most Beautiful ,Emily Hauser,Fiction,Finished,,03/06/2025,05/06/2025,,
The Penelopiad,Margaret Atwood,Fiction,Finished,,06/06/2025,06/06/2025,,
Gawaine and the Green Knight,tr. Simon Armitage,Poetry,Finished,,06/06/2025,06/06/2025,,
"If On A Winter's Night, A Traveller",Italo Calvino,Fiction,Finished,,13/06/2025,16/06/2025,,
Mother Tongue,Bill Bryson,Non-fiction,Finished,,16/06/2025,08/09/2025,,
